NREGION,NPROVINCE,NDISTRICT,NVILL_SECT,NCOMMUNE,NOM,Name of HF as it appears in the HF-level data base ,remarks,POINT_X,POINT_Y,Statut
BOUCLE DU MOUHOUN,BANWA,SOLENZO,SECTEUR N_2 SOLENZO,SOLENZO,CSPS URBAIN N_2 DE SOLENZO,CSPS SOLENZO2,,-4.092277778,12.18444444,51
BOUCLE DU MOUHOUN,BANWA,SOLENZO,KELLE,TANSILA,CSPS DE KELLE,CSPS KELLE,,-4.37875,12.55677778,61
BOUCLE DU MOUHOUN,BANWA,SOLENZO,TANSILA,TANSILA,CSPS DE TANSILA,CSPS TANSILA,,-4.393194444,12.42263889,51
BOUCLE DU MOUHOUN,KOSI,NOUNA,NIAN,DOUBALA,CSPS DE  NIAN,CSPS NIAN,,-4.091777778,12.74519444,61
BOUCLE DU MOUHOUN,KOSSI,NOUNA,BERMA,BARANI,CSPS DE BERMA,CSPS BERMA,,-3.845138889,13.33316667,51
BOUCLE DU MOUHOUN,KOSSI,NOUNA,KOULEROU,BARANI,CSPS DE KOULEROU,DISPENSAIRE KOULEROU,,-3.772666667,12.98455556,61
BOUCLE DU MOUHOUN,KOSSI,NOUNA,BOREKUI,BOMBOREKUI,CSPS DE BOREKUI,DISPENSAIRE BOREKUY,,-4.059388889,12.91672222,61
BOUCLE DU MOUHOUN,KOSSI,NOUNA,YEREDOUGOU,BOMBOROKUY,CSPS DE YEVEDOUGOU,CSPS YEVEDOUGOU,,-3.964027778,12.93352778,51
BOUCLE DU MOUHOUN,KOSSI,NOUNA,BOURASSO,BOURASSO,CSPS DE BOURASSO,CSPS BOURASSO,,-3.712305556,12.63166667,51
BOUCLE DU MOUHOUN,KOSSI,NOUNA,LEKUY,BOURASSO,CSPS DE LEKUY,CSPS LEKUY,,-3.674805556,12.59625,51
BOUCLE DU MOUHOUN,KOSSI,NOUNA,SIKORO,BOURASSO,CSPS DE SIKORO,DISPENSAIRE SIKORO,,-3.775888889,12.62380556,61
BOUCLE DU MOUHOUN,KOSSI,NOUNA,LABARANI,BOURASSO,CSPS DELABARANI,CSPS LABARANI,,-3.631305556,12.60080556,51
BOUCLE DU MOUHOUN,KOSSI,NOUNA,DJIBASSO,DJIBASSO,CSPS DE DJIBASSO,CM DJIBASSO,,-4.158833333,13.12172222,41
BOUCLE DU MOUHOUN,KOSSI,NOUNA,IRA,DJIBASSO,CSPS DE IRA,CSPS IRA,,-4.040333333,13.25158333,51
BOUCLE DU MOUHOUN,KOSSI,NOUNA,KIENEKUY,DJIBASSO,CSPS DE KIENEKUY,CSPS KIENEKUY 1,,-4.181444444,13.03908333,51
BOUCLE DU MOUHOUN,KOSSI,NOUNA,DOKUY,DOKUY,CSPS DE DOKUY,CSPS DOKUY,,-4.115944444,12.54511111,51
BOUCLE DU MOUHOUN,KOSSI,NOUNA,GONI,DOKUY,CSPS DE GONI,CSPS GONI,,-3.968,12.57191667,51
BOUCLE DU MOUHOUN,KOSSI,NOUNA,DOUMBALA,DOUMBALA,CPSS DE DOUMBALA,CSPS DOUMBALA,,-4.168361111,12.91263889,51
BOUCLE DU MOUHOUN,KOSSI,NOUNA,KONKUYKORO,DOUMBALA,CSPS DE KONKUYKORO,CSPS KONKUY KORO,,-4.115861111,12.84516667,51
BOUCLE DU MOUHOUN,KOSSI,NOUNA,MOUNAKORO,DOUMBALA,CSPS DE MOUNAKORO,CSPS MOUNAKORO,,-4.110916667,12.96869444,51
BOUCLE DU MOUHOUN,KOSSI,NOUNA,KOMBORI KOURA,KOMBORI KOURA,CSPS DE KOMBORI KOURA,CSPS KOMBORI KOURA,,-3.939388889,13.43266667,51
BOUCLE DU MOUHOUN,KOSSI,NOUNA,MADOUBA,MADOUBA,CSPS DE MADOUBA,CSPS MADOUBA,,-4.319305556,13.10527778,51
BOUCLE DU MOUHOUN,KOSSI,NOUNA,NOUNA,NOUNA,CMA DE NOUNA,CMA NOUNA,,-3.860027778,12.73175,3
BOUCLE DU MOUHOUN,KOSSI,NOUNA,SECTEUR 7,NOUNA,CSPS COMMUNAL DE NOUNA,CSPS COMMUNAL (NOUNA),,-3.839138889,12.73330556,51
BOUCLE DU MOUHOUN,KOSSI,NOUNA,DARA,NOUNA,CSPS DE DARA,CSPS DARA,,-3.918388889,12.63305556,51
BOUCLE DU MOUHOUN,KOSSI,NOUNA,DEMBO,NOUNA,CSPS DE DEMBO,CSPS DEMBO,,-3.966805556,12.80072222,51
BOUCLE DU MOUHOUN,KOSSI,NOUNA,KONANKOIRA,NOUNA,CSPS DE KONANKOIRA,CSPS KONANKOIRA,,-3.892,12.90472222,61
BOUCLE DU MOUHOUN,KOSSI,NOUNA,KORO,NOUNA,CSPS DE KORO,CSPS KORO (NOUNA),,-3.597027778,10.603,51
BOUCLE DU MOUHOUN,KOSSI,NOUNA,MOURDIE,NOUNA,CSPS DE MOURDIE,CSPS MOURZIE,,-3.755222222,12.77238889,51
BOUCLE DU MOUHOUN,KOSSI,NOUNA,SOLIMANA,NOUNA,CSPS DE SOLIMANA,DISPENSAIRE SOLIMANA,,-3.616111111,12.88994444,61
BOUCLE DU MOUHOUN,KOSSI,NOUNA,TONI,NOUNA,CSPS DE TONI,CSPS TONI,,-3.991194444,12.65366667,61
BOUCLE DU MOUHOUN,KOSSI,NOUNA,SONO,SONO,CSPS DE SONO,CSPS SONO,,-3.493944444,12.82233333,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,DORA,BONDOKUY,CSPS DE DORA,CSPS DORA,,-3.516777778,11.95605556,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,BONDOUKUY,BONDOUKUY,BONDOUKUY,CSPS Bondoukuy,,-3.768888889,11.84286111,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,BOUENEVOUHOUN,BONDOUKUY,CSPS BE BOUENEVOUHOUN,CSPS BOUENEVOUHOUN,,-3.913388889,11.87783333,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,KOUMANA,BONDOUKUY,CSPS DE KOUMANA,CSPS KOUMANA,,-3.819111111,11.97108333,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,WAKUY,BOONDOKUY,CSPS DE WAKUY,CSPS WAKUY,,-3.638444444,11.67441667,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,OUAKARA,BOUDOKUY,CSPS DE OUAKARA,CSPS OUAKARA (BONDOUKUY),,-3.636833333,11.86666667,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,CHERIBA,CHERIBA,CSPS TCHENIBA,CSPS TCHERIBA,,-3.088527778,12.26408333,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,SECTEUR 2,DEDOUGOU,CENTRE MEDICAL URBAIN DDG,CMU DEDOUGOU,,-3.464,12.47294444,4
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,,DEDOUGOU,CHR DE DEDOUGOU,,missing?,-3.465305556,12.46075,2
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,PASSAKONGO,DEDOUGOU,CPSPS DE PASSAKONGO,CSPS PASSAKONGO,,-3.432361111,12.51175,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,4,DEDOUGOU,CSPS COMMUNAL DEDOUGOU,CSPS COMMUNAL (DÉDOUGOU),,-3.4485,12.44775,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,KARI,DEDOUGOU,CSPS DE KARI,CSPS KARI (DEDOUGOU),,-3.611666667,11.37997222,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,KARO,DEDOUGOU,CSPS DE KARO,CSPS KARO,,-3.303916667,12.36513889,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,SOUKUY,DEDOUGOU,CSPS DE SOUKUY,CSPS SOUKUY,,-3.472277778,12.60311111,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,TIONKUY,DEDOUGOU,CSPS DE TIONKUY,CSPS TIONKUY,,-3.459083333,12.50872222,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,DOUROULA,DOUROULA,CSPS DE DOUROULA,CSPS DOUROULA,,-3.302527778,12.58080556,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,DANGOUNA,KONA,CSPS DE DANGOUNA,CSPS DANGOUNA,,-3.414333333,12.05869444,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,KOAMA,KONA,CSPS DE KOANA,CSPS KOANA,,-3.490111111,12.19433333,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,DOUDOU,OUARKOYE,CSPS DE DOUDOU,CSPS DOUDOU (OUARKOYE),,-2.546555556,12.16883333,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,FAKENA,OUARKOYE,CSPS DE FAKENA,CSPS FAKENA,,-3.627527778,12.02169444,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,OUARKOYE,OUARKOYE,CSPS DE OUARKOYE,CSPS OUARKOYE,,-3.6685,12.08863889,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,POUNDOU,OUARKOYE,CSPS DE POUNDOU,CSPS POUNDOU,,-3.588,12.19358333,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,KONA,RURALE DE KONA,CSPS DE KONA,CSPS KONA,,-3.428805556,12.06452778,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,LAH,RURALE DE KONA,CSPS DE LAH,DISPENSAIRE LAH,,-3.502333333,12.06705556,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,SAFANE,RURALE SAFANE,CSPS DE SAFANE (CM),CM SAFANE,,-3.222805556,12.13263889,41
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,NOUNOU,SAFANE,CSPS DE NOUNOU,CSPS NOUNOU,,-3.239555556,12.25108333,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,OUALOU,TCHERIBA,CSPS DE OUALOU,DISPENSAIRE OUALOU,,-2.908416667,12.34852778,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,TIERKOU,TCHERIBA,CSPS DE TIERKOU,CSPS TIERKOU,,-3.025388889,12.12575,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,TIKAN,TCHERIBA,CSPS DE TIKAN,CSPS TIKAN,,-3.1505,12.31372222,51
BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,TISSE,TCHERIBA,CSPS DE TISSE,CSPS TISSE,,-2.975861111,12.08755556,51
BOUCLE DU MOUHOUN,NAYALA,TOMA,DIERE,GASSAN,CSPS DE DIERE,CSPS DIERE (TOMA),,-3.103472222,12.84194444,51
BOUCLE DU MOUHOUN,NAYALA,TOMA,GASSAN,GASSAN,CSPS DE GASSAN,CSPS GASSAN,,-3.205583333,12.81175,51
BOUCLE DU MOUHOUN,NAYALA,TOMA,ZABA,GASSAN,CSPS DE ZABA,CSPS ZABA,,-3.208888889,12.77675,51
BOUCLE DU MOUHOUN,NAYALA,TOMA,GOSSINA,GOSSINA,CSPS DE GOSSINA,CSPS GOSSINA,,-2.868888889,12.52147222,51
BOUCLE DU MOUHOUN,NAYALA,TOMA,SANKOUE,GOSSINA,CSPS DE SANKOUE,CSPS SANKOUE,,-2.970888889,12.56069444,51
BOUCLE DU MOUHOUN,NAYALA,TOMA,MOARA GRAND,RURALE GASSAN,CSPS DE MOARA GRAND,CSPS MOARA-GRAND,,-3.338055556,12.7935,51
BOUCLE DU MOUHOUN,NAYALA,TOMA,SECTEUR 2,TOMA,CMA DE TOMA,CMA TOMA,,-2.894222222,12.76372222,3
BOUCLE DU MOUHOUN,NAYALA,TOMA,BIBA,TOMA,CSPS DE BIBA,CSPS BIBA,,-2.967944444,12.81083333,51
BOUCLE DU MOUHOUN,NAYALA,TOMA,BOUNOU,TOMA,CSPS DE BOUNOU,CSPS BOUNOU,,-2.821694444,12.80297222,51
BOUCLE DU MOUHOUN,NAYALA,TOMA,KERA,TOMA,CSPS DE KERA,CSPS KERA,,-2.724138889,12.6965,51
BOUCLE DU MOUHOUN,NAYALA,TOMA,KOIN,TOMA,CSPS DE KOIN,CSPS KOIN (TOMA),,-2.837388889,12.71913889,51
BOUCLE DU MOUHOUN,NAYALA,TOMA,KOUGNY,TOMA,CSPS DE KOUGNY,CSPS KOUGNY,,-3.117277778,12.7805,51
BOUCLE DU MOUHOUN,NAYALA,TOMA,KWON,TOMA,CSPS DE KWON,CSPS KWON,,-2.747194444,12.54341667,51
BOUCLE DU MOUHOUN,NAYALA,TOMA,PANKELE,TOMA,CSPS DE PANKELE,CSPS PANKELE,,-2.864527778,12.63363889,51
BOUCLE DU MOUHOUN,NAYALA,TOMA,SIELLE,TOMA,CSPS DE SIELLE,CSPS SIELLE,,-2.766555556,12.79952778,51
BOUCLE DU MOUHOUN,NAYALA,TOMA,YABA,TOMA,CSPS DE YABA,CSPS YABA,,-2.857916667,12.87233333,51
BOUCLE DU MOUHOUN,NAYALA,TOMA,ZOUMA,TOMA,CSPS DE ZOUMA,CSPS ZOUMA,,-1.602777778,12.60244444,51
BOUCLE DU MOUHOUN,NAYALA,TOMA,SECTEUR 1,TOMA,CSPS URBAIN DE TOMA,CSPS TOMA,,-2.898583333,12.76636111,51
BOUCLE DU MOUHOUN,NAYALA,TOMA,DAMAN,YE,CSPS DE DAMAN,CSPS DAMAN,,-3.0395,12.44738889,51
BOUCLE DU MOUHOUN,NAYALA,TOMA,GOERSA,YE,CSPS DE GOERSA,CSPS GOERSA,,-3.055277778,12.55527778,51
BOUCLE DU MOUHOUN,NAYALA,TOMA,NABONSWENDE,YE,CSPS DE NABONSWENDE,CSPS NABONSWENDE,,-3.109777778,12.51147222,51
BOUCLE DU MOUHOUN,NAYALA,TOMA,SAOURA,YE,CSPS DE SAOURA,CSPS SAOURA,,-2.98225,12.49102778,51
BOUCLE DU MOUHOUN,NAYALA,TOMA,YE,YE,CSPS DE YE,CSPS YE,,-3.113444444,12.60422222,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,DEBE,DI,CSPS DE DEBE,CSPS DEBE (DI),,-3.430222222,13.05666667,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,DI,DI,CSPS DE DI,CSPS DI,,-3.409361111,13.16977778,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,NIASSAN,DI,CSPS DE NIASSAN,CSPS NIASSAN,,-3.421361111,13.09338889,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,OUE,DI,CSPS DE OUE,CSPS OUE,,-3.394333333,13.2405,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,GOMBORO,GOMBORO,CSPS DE GOMBORO,CSPS GOMBORO,,-2.777444444,13.48230556,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,KONGA,GOMBORO,CSPS KDE KONGA,CSPS KONGA,,-2.8785,13.49497222,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,BANGASSI,KASSOUM,CSPS DE BONGOSSI,CSPS BANGASSI,,-3.2765,13.16063889,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,TIAO,KASSOUM,CSPS DE TIAO,CSPS TIAO,,-3.238805556,13.22488889,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,BANGASSOGO,KIEMBARA,CSPS BANGASSOGO,CSPS BANGASSOGO,,-2.912583333,13.31530556,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,DIO,KIEMBARA,CSPS DE DIO,CSPS DIO (KIEMBARA),,-2.636777778,13.32866667,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,KIEMBARA,KIEMBARA,CSPS DE KIEMBARA,CM KIEMBARA,,-2.724972222,13.24288889,4
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,KOSSOUM,KOSSOUM,CSPS DEKOSSOUM,CSPS KASSOUM,,-3.30225,13.0765,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,KOUMBARA,LANFIERA,CSPS DE KOUMBARO,CSPS KOUMBARA,,-3.392,12.90872222,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,LANFIERA,LANFIERA,CSPS DE LANFIERA,CM LANFIERA,,-3.414194444,12.98788889,4
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,LANKOUE,LANKOUE,CSPS DE LANKOUE,CSPS LANKOUE ,,-2.587722222,13.24516667,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,RASSOULY,LANKOUE,CSPS DE RASSOULY,CSPS RASSOULY,,-2.512055556,13.29844444,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,KWARMENGUEL,TOENI,CSPS DE KWARMENGUEL,CSPS KWAREMENGUEL,,-3.017194444,13.33466667,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,LORONI,TOENI,CSPS DE LORONI,CSPS LORONI,,-3.138138889,13.61630556,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,TOENI,TOENI,CSPS DE TOENI,CSPS TOENI,,-3.183611111,13.43977778,41
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,1,TOUGAN,CMA DE TOUGAN,CMA TOUGAN,,-3.071166667,13.06861111,3
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,BONOU,TOUGAN,CSPS DE BONOU,CSPS BONOU,,-2.809944444,13.123,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,BOUSSOUM,TOUGAN,CSPS DE BOUSSOUM,CSPS BOUSSOUM,,-2.950583333,13.14811111,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,DAKA,TOUGAN,CSPS DE DAKA,CSPS DAKA,,-3.0415,13.153,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,KASSAN,TOUGAN,CSPS DE KASSAN,CSPS KASSAN,,-3.028472222,12.99519444,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,KOUY,TOUGAN,CSPS DE KOUY,CSPS KOUY,,-3.164666667,13.18583333,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,NIANKORE,TOUGAN,CSPS DE NIANKORE,CSPS NIANKORE,,-2.963416667,13.22833333,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,TIANRA,TOUGAN,CSPS DE TIANRA,CSPS TIANRA,,-3.172277778,13.09188889,51
BOUCLE DU MOUHOUN,SOUROU,TOUGAN,DA,TOUGAN,CSPS DE ZININDA,CSPS ZINZI- DA,,-2.913,12.99005556,51
